2017-12-07 08:36:04,366 [1] INFO  WebCrawler.Services.Program - 文章采集系统开始...
 WebCrawler.Services.Programname2017-12-07 08:36:05,242 [4] INFO  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息采集开始***************************
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:13,708 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-22 14:09云铜股份顺利获得海关AEO“高级认证企业”资质
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:13,815 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-21 14:41 全球金属矿产勘查投入回升
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:13,961 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-21 13:44厦门稀土材料研究所院士专家工作站获授牌
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:14,409 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-21 13:35银光表面处理中心开发出YGB08军工用镁合金金色及黑色导电氧化工艺
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:14,793 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-20 13:13南山铝业喜获山东省节能突出贡献企业奖
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:14,979 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-20 13:10水口山硫精矿压滤系统改造取得重大突破
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:15,545 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-19 21:26 全球矿业或将开启新的周期
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:15,654 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-19 21:02北方稀土助力创建稀土产品质量安全示范区
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:15,757 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-19 20:56金山磁材重视研发形成技术优势
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:15,875 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-17 10:49山西铝业氧化铝二期溶出隔膜泵隔膜频繁破裂难题攻关取得重大突破
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:16,063 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-17 10:473D打印材料再添强援！LPW将生产空客Scalmalloy铝合金粉末
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:16,167 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-16 15:30北方稀土集团11月份挂牌价格4跌2平
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:16,274 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-16 14:05中国成功制备高效去除水体重金属新材料
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:16,389 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-16 14:04水口山公司优化吹锑工艺杜绝低空污染
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:16,492 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-16 14:01华中铜业获首个国家发明专利
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:16,674 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-16 09:102017（第三届）中国稀土论坛在南宁召开
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:16,785 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-15 14:29创镁团队研发轻质高强韧镁合金板带材成形技术
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:16,893 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-15 14:23宁德成全球最大聚合物锂离子电池生产基地
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:17,034 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-15 14:19中铝山西新材料有限公司铝液质量创历史最好水平
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:17,168 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-15 14:15金川集团精密铜材公司荣获全国铜管加工企业优质供应商十强企业
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:17,280 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-15 11:03前三季度有色金属行业效益持续向好
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:17,383 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-15 09:33中国稀土硫化物及稀土光源院士工作站揭牌
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:17,487 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-14 14:17中孚炭素公司正式迈入“超低排放”时代
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:17,598 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-14 14:09年产4000万套高端锂电池结构件项目落户南川
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:17,726 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-14 13:59铜冠铜箔公司新产品打破国际技术垄断
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:17,834 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-13 16:11天骄清美稀土抛光粉产销量达到历史记录
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:17,964 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-13 15:21海南将大力推进国家战略性矿产勘查开发
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:18,067 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-13 13:37中铝江苏稀土一科技成果达到国际领先水平
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:18,174 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-13 13:34《国家标准再生铅及铅合金锭》发布
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:18,282 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-13 10:16北方稀土三季度利润改善明显
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:18,397 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-13 10:01寻乌恒源科技稀土金属合金项目立项通过
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:18,808 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-13 09:53税收政策助力江西打造“中国稀金谷”
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:18,933 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-10 13:38零甲醛的全铝家居应走自己的路
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:19,056 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-10 13:33北京矿冶总院两项科技成果达到国际水平
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:19,289 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-09 15:22大规格镁合金锭坯潜流式半连续铸造技术获得成功
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:19,404 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-09 15:10忠旺集团铝合金构件“登上”高速列车
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:19,513 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-08 13:26欧盟科学家利用离子液体从矿渣中回收稀土元素
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:19,618 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-08 13:24　国家科技惠民计划“定南县废弃稀土矿区生态修复示范”项目顺利通过验收
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:19,736 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-08 13:13青海投资集团桥头铝电公司成功试制出5083合金扁锭
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:20,112 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-07 13:22中铝山西新材料有限公司新型压铸铝合金散热器项目可研报告通过专家论证
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:20,255 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-07 13:12陶瓷线路板解决锂电池终极难题
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:20,359 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-07 13:09江铜标准化工作获多项行业大奖
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:20,463 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-06 11:17稀土脱硝催化剂国家标准将实施
 WebCrawlerConsole.DoMain.Crawlername2017-12-07 08:36:20,567 [4] WARN  WebCrawlerConsole.DoMain.Crawler - 中国金属网-综合信息,存在相同【标题】的文章:11-06 10:58中国科学院金属研究所与白俄罗斯科学院物理技术研究所成立中白联合实验室
